PullRequestTitle,PullRequestNumber,PullRequestState,PullRequestCreatedAt,PullRequestUpdatedAt,PullRequestClosedAt,PullRequestMergedAt,PullRequestAuthor,PullRequestReviewsCount,PullRequestReviewers,PullRequestCommentsCount,ReviewDuration
Add market borrow caps,65,MERGED,2020-09-14T21:46:59Z,2022-01-01T15:50:22Z,2020-09-14T22:38:02Z,2020-09-14T22:38:02Z,jflatow,0,[],1,0 days 00:51:03
Refactor interest rate models to share code,66,MERGED,2020-09-21T16:16:51Z,2021-03-28T00:03:23Z,2020-09-21T16:52:13Z,2020-09-21T16:52:13Z,jflatow,0,[],1,0 days 00:35:22
"Attempt to upgrade everything (esp saddle), fix some tests",67,MERGED,2020-09-21T16:54:09Z,2021-02-09T02:15:45Z,2020-10-03T20:35:40Z,2020-10-03T20:35:40Z,jflatow,0,[],1,12 days 03:41:31
CToken delegate for a comp-like token,68,MERGED,2020-09-21T17:04:33Z,2020-09-21T23:52:38Z,2020-09-21T23:52:37Z,2020-09-21T23:52:37Z,jflatow,0,[],1,0 days 06:48:04
Add networks config for cUNI,69,MERGED,2020-09-24T21:00:00Z,2020-10-03T20:18:17Z,2020-10-03T20:17:18Z,2020-10-03T20:17:18Z,jflatow,0,[],1,8 days 23:17:18
Add address for UNI IRM updateable,70,MERGED,2020-10-13T19:17:42Z,2021-03-28T00:00:18Z,2020-10-13T23:24:25Z,2020-10-13T23:24:25Z,jflatow,0,[],1,0 days 04:06:43
Added fixed period vesting + Comptroller reductions,71,CLOSED,2020-10-14T10:42:15Z,2021-06-15T09:12:38Z,2021-06-15T09:12:38Z,,Pet3ris,0,[],1,243 days 22:30:23
Update Exponential.sol,72,CLOSED,2020-10-22T05:01:52Z,2020-10-27T17:49:33Z,2020-10-27T17:49:13Z,,Juliane1111,0,[],1,5 days 12:47:21
Remove CDelegationStorage from CDelegateInterface,73,CLOSED,2020-10-22T19:38:15Z,2020-12-02T23:32:46Z,2020-12-02T23:32:46Z,,limitedAtonement,0,[],1,41 days 03:54:31
Create ++,74,CLOSED,2020-10-28T17:24:45Z,2020-10-28T17:40:08Z,2020-10-28T17:27:04Z,,laviol1980,0,[],1,0 days 00:02:19
Compound/2.8,75,CLOSED,2020-11-07T12:54:08Z,2020-12-02T23:14:01Z,2020-12-02T23:14:01Z,,ihateaher0,0,[],1,25 days 10:19:53
WIP: added flashloan to CDAI,76,CLOSED,2020-11-10T18:29:44Z,2020-11-26T17:42:25Z,2020-11-26T17:42:20Z,,vaibhavchellani,0,[],1,15 days 23:12:36
Removing spaces,77,CLOSED,2020-11-11T09:20:04Z,2020-12-02T23:34:09Z,2020-12-02T23:34:09Z,,xternet,0,[],1,21 days 14:14:05
Update README.md,78,MERGED,2020-11-24T05:39:08Z,2020-12-28T18:17:53Z,2020-12-28T18:17:53Z,2020-12-28T18:17:53Z,donguks,0,[],1,34 days 12:38:45
Add `grantComp` and `setContributorCompSpeed`,79,MERGED,2020-12-01T18:35:37Z,2020-12-11T21:04:17Z,2020-12-10T22:45:04Z,2020-12-10T22:45:04Z,Pet3ris,0,[],1,9 days 04:09:27
shasum update,80,MERGED,2020-12-10T03:15:06Z,2021-08-10T00:36:29Z,2021-08-10T00:29:14Z,2021-08-10T00:29:14Z,arr00,0,[],1,242 days 21:14:08
Removed `refreshCompSpeeds` + removed automatic comp claims + added `_setCompSpeed`,83,MERGED,2020-12-11T21:09:15Z,2021-01-10T15:43:47Z,2020-12-28T18:16:41Z,2020-12-28T18:16:41Z,Pet3ris,0,[],1,16 days 21:07:26
Hypothetical cDAI implementation and IRM migration,85,MERGED,2020-12-21T22:46:29Z,2021-01-03T00:24:30Z,2020-12-28T18:17:10Z,2020-12-28T18:17:10Z,arr00,0,[],1,6 days 19:30:41
[ARCHIVED TO PRESERVE AUDIT REFERENCE COMMITS] Added cooldown for COMP claims,87,CLOSED,2020-12-28T13:08:31Z,2021-04-16T09:46:09Z,2021-04-16T09:45:46Z,,Pet3ris,0,[],1,108 days 20:37:15
Governor Bravo,91,CLOSED,2021-01-14T19:47:11Z,2021-03-30T00:11:56Z,2021-03-30T00:11:55Z,,arr00,0,[],1,74 days 04:24:44
Compound/2.2 prerelease v2,94,CLOSED,2021-01-19T07:41:43Z,2021-08-27T20:50:45Z,2021-08-27T20:50:45Z,,dnlhwrd3229,0,[],1,220 days 13:09:02
Compound supply cap,95,OPEN,2021-01-20T06:45:36Z,2023-05-14T03:28:41Z,,,bun919tw,0,[],1,
Anchor v1,96,CLOSED,2021-01-28T04:58:06Z,2021-01-28T04:59:29Z,2021-01-28T04:59:29Z,,nourharidy,0,[],1,0 days 00:01:23
Add sweepToken functionality,97,MERGED,2021-01-28T05:18:58Z,2021-06-02T12:19:24Z,2021-02-16T19:31:54Z,2021-02-16T19:31:54Z,arr00,0,[],1,19 days 14:12:56
Owner settable irm,99,CLOSED,2021-02-02T23:58:14Z,2021-11-16T21:07:51Z,2021-11-16T21:07:51Z,,arr00,0,[],1,286 days 21:09:37
Validate input,100,CLOSED,2021-02-14T20:44:37Z,2021-02-14T20:44:50Z,2021-02-14T20:44:50Z,,arr00,0,[],1,0 days 00:00:13
maximum ,103,CLOSED,2021-02-18T06:37:19Z,2021-08-10T17:47:39Z,2021-08-10T17:47:39Z,,ihateaher0,0,[],1,173 days 11:10:20
Oracle Infrastructure: Chainlink Price Feeds,105,CLOSED,2021-03-11T16:18:00Z,2021-04-22T14:39:30Z,2021-04-22T14:36:50Z,,alexroan,0,[],1,41 days 22:18:50
"[WIP] Rename Compound to Vortex, redeploy, and update Readme",108,CLOSED,2021-03-23T07:12:27Z,2021-03-23T08:19:30Z,2021-03-23T08:19:30Z,,uivlis,0,[],1,0 days 01:07:03
Add in gov bravo versions of proposal and vote receipt lens functions.,109,MERGED,2021-03-29T23:43:10Z,2021-04-12T17:36:47Z,2021-04-12T17:36:46Z,2021-04-12T17:36:46Z,torreyatcitty,0,[],1,13 days 17:53:36
Update Governor Bravo,110,MERGED,2021-03-29T23:48:27Z,2021-03-30T00:07:13Z,2021-03-30T00:07:12Z,2021-03-30T00:07:12Z,jflatow,0,[],1,0 days 00:18:45
fix #113 typo : complaint -> compliant,114,MERGED,2021-04-11T13:34:46Z,2022-05-26T13:07:17Z,2021-07-27T15:16:19Z,2021-07-27T15:16:19Z,edd34,0,[],1,107 days 01:41:33
Update token:deploy script to use latest cToken contract,115,MERGED,2021-04-16T02:55:43Z,2021-09-23T02:06:34Z,2021-08-11T18:26:46Z,2021-08-11T18:26:46Z,TylerEther,0,[],1,117 days 15:31:03
Added cooldown for COMP claims [post audit branch],116,CLOSED,2021-04-16T09:44:57Z,2021-11-16T21:12:23Z,2021-11-16T21:12:23Z,,Pet3ris,0,[],1,214 days 11:27:26
standard code,119,CLOSED,2021-04-22T10:20:52Z,2021-04-22T20:34:36Z,2021-04-22T20:34:36Z,,zgfzgf,0,[],1,0 days 10:13:44
delete useless code,120,CLOSED,2021-04-27T02:46:07Z,2021-09-17T20:30:14Z,2021-09-17T20:30:14Z,,zgfzgf,0,[],1,143 days 17:44:07
add queue period,121,CLOSED,2021-04-27T03:24:38Z,2021-09-03T20:22:22Z,2021-09-03T20:22:22Z,,zgfzgf,0,[],1,129 days 16:57:44
Enable liquidations for all accounts in deprecated markets,123,MERGED,2021-05-06T02:56:18Z,2021-05-22T22:10:37Z,2021-05-14T01:11:19Z,2021-05-14T01:11:19Z,maxwolff,0,[],1,7 days 22:15:01
Adds a portion of liquidated collateral to CToken reserves,124,MERGED,2021-05-06T03:00:38Z,2021-06-16T19:17:49Z,2021-05-14T00:57:23Z,2021-05-14T00:57:23Z,maxwolff,0,[],1,7 days 21:56:45
Optimize claimComp gas,125,MERGED,2021-05-06T03:03:04Z,2021-05-14T01:45:50Z,2021-05-14T01:06:28Z,2021-05-14T01:06:28Z,maxwolff,0,[],1,7 days 22:03:24
Support cLINK,126,CLOSED,2021-05-13T20:18:33Z,2021-08-11T18:57:03Z,2021-08-11T18:57:03Z,,TylerEther,0,[],1,89 days 22:38:30
Compound/2.9,127,MERGED,2021-05-14T01:12:31Z,2021-07-13T22:52:26Z,2021-07-13T22:52:26Z,2021-07-13T22:52:26Z,maxwolff,0,[],1,60 days 21:39:55
Optimize Claim,128,MERGED,2021-05-14T01:45:07Z,2021-05-14T01:45:50Z,2021-05-14T01:45:49Z,2021-05-14T01:45:49Z,maxwolff,0,[],1,0 days 00:00:42
basic contracts for quadratic Governor Alpha,129,CLOSED,2021-05-19T02:10:19Z,2021-05-19T02:41:20Z,2021-05-19T02:41:20Z,,owocki,0,[],1,0 days 00:31:01
Max/fix mainnet abis,130,MERGED,2021-05-20T22:09:08Z,2021-05-20T22:22:44Z,2021-05-20T22:22:44Z,2021-05-20T22:22:44Z,maxwolff,0,[],1,0 days 00:13:36
[WIP] migrate deprecated ctoken collateral,133,CLOSED,2021-06-17T21:59:48Z,2021-07-13T22:52:27Z,2021-07-13T22:52:27Z,,yaronvel,0,[],1,26 days 00:52:39
Networks submodule,134,CLOSED,2021-07-01T21:19:36Z,2021-08-11T18:56:42Z,2021-08-11T18:56:42Z,,TylerEther,0,[],1,40 days 21:37:06
"Standardize line endings to Unix-style LF, except for PDFs",135,MERGED,2021-07-09T03:36:37Z,2021-08-30T00:24:46Z,2021-08-10T17:49:47Z,2021-08-10T17:49:47Z,TylerEther,0,[],1,32 days 14:13:10
WIP: Upgrade Comptroller to use dynamic COMP reward distribution,139,CLOSED,2021-07-22T22:01:08Z,2021-08-11T18:32:58Z,2021-08-11T18:32:58Z,,TylerEther,0,[],1,19 days 20:31:50
Reduce gas costs in CToken#redeemFresh,140,CLOSED,2021-07-26T21:05:36Z,2021-11-16T21:19:29Z,2021-11-16T21:19:28Z,,TylerEther,0,[],1,113 days 00:13:52
Optimize COMP accrual functions,143,CLOSED,2021-07-28T00:44:32Z,2021-08-14T03:42:37Z,2021-08-13T21:54:37Z,,TylerEther,0,[],1,16 days 21:10:05
Split COMP rewards distribution,144,CLOSED,2021-07-30T19:35:53Z,2021-10-01T18:27:56Z,2021-10-01T18:27:56Z,,TylerEther,0,[],0,62 days 22:52:03
arr00 shasum update ,147,CLOSED,2021-08-10T00:24:40Z,2021-08-10T00:29:54Z,2021-08-10T00:29:54Z,,elee1766,0,[],0,0 days 00:05:14
Fix COMP rewards bugs,148,CLOSED,2021-08-10T02:02:03Z,2021-08-13T21:16:26Z,2021-08-13T21:16:26Z,,TylerEther,0,[],0,3 days 19:14:23
Add Governance Whitelist Users Feature,149,MERGED,2021-08-11T17:02:41Z,2021-11-16T21:26:46Z,2021-11-16T21:26:46Z,2021-11-16T21:26:46Z,arr00,0,[],0,97 days 04:24:05
Changed SimplePriceOracle so ETH price can be set on testnets,151,MERGED,2021-08-24T21:26:06Z,2021-11-16T21:40:06Z,2021-11-16T21:40:05Z,2021-11-16T21:40:05Z,ajb413,0,[],0,84 days 00:13:59
[RFP12] CToken Cleanup,152,MERGED,2021-08-29T22:34:04Z,2022-06-28T13:23:42Z,2022-06-07T01:47:38Z,2022-06-07T01:47:38Z,arjun-io,0,[],0,281 days 03:13:34
Avoid token reentry attacks,153,CLOSED,2021-08-30T13:04:59Z,2021-11-16T21:32:32Z,2021-11-16T21:32:32Z,,wenzhenxiang,0,[],0,78 days 08:27:33
Punitive accounting for borrow and redeem,157,CLOSED,2021-09-10T20:44:58Z,2021-10-04T19:35:15Z,2021-10-04T19:35:15Z,,jflatow,0,[],0,23 days 22:50:17
Feature/por ctoken,158,CLOSED,2021-09-13T08:00:57Z,2021-09-24T05:54:36Z,2021-09-24T05:54:00Z,,yosriady,0,[],0,10 days 21:53:03
Add borrow caps and  comp speed to lens,160,CLOSED,2021-09-29T18:25:57Z,2021-11-04T18:14:07Z,2021-11-04T18:14:07Z,,torreyatcitty,0,[],0,35 days 23:48:10
The Comp Speeds Branch on Mainnet,161,MERGED,2021-09-30T21:08:36Z,2021-09-30T21:11:43Z,2021-09-30T21:11:42Z,2021-09-30T21:11:42Z,hayesgm,0,[],0,0 days 00:03:06
Fix resolutions,162,OPEN,2021-09-30T21:09:40Z,2022-10-11T19:20:46Z,,,hayesgm,0,[],0,
Tyler New Patch for #63,163,CLOSED,2021-09-30T21:13:40Z,2021-10-12T20:38:16Z,2021-10-12T20:38:15Z,,hayesgm,0,[],0,11 days 23:24:35
